architecture,bandwidth_TBps,GPU_power_W,memory_power_W,total_power_W,Tmax_C,hotspot,iterations,residual,solve_time_s
conventional_hbm_24hi_sensitivity,0.0,74.0,0.0,74.0,35.50941996512239,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1090,2.7749167201065616e-05,1.8165773000000627
conventional_hbm_24hi_sensitivity,0.2,92.688,6.4639999999999995,99.152,40.551854183516014,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1000,7.840618528344976e-05,1.6778909000004205
conventional_hbm_24hi_sensitivity,0.4,111.376,12.927999999999999,124.304,45.59588852152001,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",990,0.00010190011366840138,1.6595637000000352
conventional_hbm_24hi_sensitivity,0.6,130.064,19.392,149.456,50.64116933292513,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1000,0.0001166199718255489,1.677981999999247
conventional_hbm_24hi_sensitivity,0.8,148.752,25.855999999999998,174.608,55.685819493013696,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1000,0.000135689815114245,1.6827375000002576
conventional_hbm_24hi_sensitivity,1.0,167.44,32.32,199.76,60.730470120970494,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1000,0.00015477490388766225,1.6770672000002378
conventional_hbm_24hi_sensitivity,1.2,186.128,38.784,224.91199999999998,65.7790774882514,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1020,0.0001321363875306803,1.7092584000001807
conventional_hbm_24hi_sensitivity,1.4,204.816,45.248,250.064,70.82431167661514,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1020,0.00014652750041631047,1.711537999999564
conventional_hbm_24hi_sensitivity,1.6,223.504,51.711999999999996,275.216,75.8834228490253,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1080,0.00011029987129000085,1.8136667999997371
conventional_hbm_24hi_sensitivity,1.8,242.192,58.176,300.368,80.93027288458774,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1080,0.00012011076043103597,1.810964100000092
conventional_hbm_24hi_sensitivity,2.0,260.88,64.64,325.52,85.97712547872436,"gpu/FEOL@(-13.242000,-0.247917,0.371790)mm",1080,0.00012990969860208625,1.816649200000029
conventional_hbm_24hi_sensitivity,2.2,279.568,71.104,350.67199999999997,91.02398005733909,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1080,0.0001396988229371663,1.8087464999998701
conventional_hbm_24hi_sensitivity,2.4,298.256,77.568,375.82399999999996,96.070836203569,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1080,0.00014947955242632395,1.8085817999999563
conventional_hbm_24hi_sensitivity,2.6,316.94399999999996,84.032,400.97599999999994,101.11769360802845,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1080,0.00015925280209461994,1.810400700000173
conventional_hbm_24hi_sensitivity,2.8,335.632,90.496,426.128,106.16867375559275,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1090,0.00014366445634834613,1.823359299999538
conventional_hbm_24hi_sensitivity,3.0,354.32,96.96,451.28,111.21579082653392,"gpu/FEOL@(-13.242000,0.247917,0.371790)mm",1090,0.0001519017548406659,1.830943500000103
conventional_hbm_24hi_sensitivity,3.2,373.008,103.42399999999999,476.43199999999996,116.26290831404316,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1090,0.00016013412980149638,1.8240394000004017
conventional_hbm_24hi_sensitivity,3.4,391.69599999999997,109.88799999999999,501.58399999999995,121.31002614751714,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1090,0.00016836146324486552,1.8261713000001691
conventional_hbm_24hi_sensitivity,3.6,410.384,116.352,526.736,126.35714427113828,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1090,0.00017658365160293352,1.8285530000002836
conventional_hbm_24hi_sensitivity,3.8,429.072,122.816,551.888,131.40426264025075,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1090,0.0001848006002324607,1.8278089000004911
conventional_hbm_24hi_sensitivity,4.0,447.76,129.28,577.04,136.45681766473132,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1100,0.00015197603559705586,1.8481249000005846
conventional_hbm_24hi_sensitivity,4.2,466.448,135.744,602.192,141.5041772056071,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1100,0.00015839069190413255,1.8389686000000438
conventional_hbm_24hi_sensitivity,4.4,485.13599999999997,142.208,627.3439999999999,146.55153680467356,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1100,0.00016480151554735062,1.8459257999993497
conventional_hbm_24hi_sensitivity,4.6,503.824,148.672,652.496,151.59889645252326,"gpu/FEOL@(13.242000,0.247917,0.371790)mm",1100,0.00017120838033689463,1.8412194000002273
conventional_hbm_24hi_sensitivity,4.8,522.512,155.136,677.6479999999999,156.6715297553394,"gpu/FEOL@(13.242000,-0.247917,0.371790)mm",1140,0.0001135308500371058,1.9101438000006965
orthogonal_m3d_igzo,0.0,74.0,0.0,74.0,31.848521010823617,"gpu/FEOL@(15.950000,5.750000,0.371790)mm",1860.0,0.0006584221293288694,7.764973099983763
orthogonal_m3d_igzo,0.2,92.688,1.4300834807312925,94.1180834807313,34.93239277319947,"gpu/FEOL@(15.950000,-4.750000,0.371790)mm",1920.0,0.0006010727714115482,7.258860800007824
orthogonal_m3d_igzo,0.4,111.376,2.860166961462585,114.23616696146259,38.113729364876576,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1970.0,0.0005677362062059969,7.4250387999927625
orthogonal_m3d_igzo,0.6,130.064,4.290250442193877,134.35425044219386,41.27188475660034,"gpu/BEOL_MXY@(15.950000,-0.250000,0.372565)mm",2000.0,0.0005481001364820999,7.472213200002443
orthogonal_m3d_igzo,0.8,148.752,5.72033392292517,154.47233392292517,44.41899481290977,"gpu/FEOL@(15.950000,0.250000,0.371790)mm",2020.0,0.0005527315131328869,7.539874799986137
orthogonal_m3d_igzo,1.0,167.44,7.150417403656463,174.59041740365646,47.5276675862583,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",2050.0,0.0005663385953018563,7.645839200005867
orthogonal_m3d_igzo,1.2,186.128,8.580500884387755,194.70850088438775,50.680511746697164,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2080.0,0.000565499310182315,7.734975600003963
orthogonal_m3d_igzo,1.4,204.816,10.01058436511905,214.82658436511906,53.77491081878412,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0005376170032547857,7.97316240001237
orthogonal_m3d_igzo,1.6,223.504,11.44066784585034,234.94466784585032,56.91081657357546,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0005856005696298701,8.212472999992315
orthogonal_m3d_igzo,1.8,242.192,12.870751326581633,255.06275132658163,60.046721265130486,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2130.0,0.0006337116682182897,8.000806900003226
orthogonal_m3d_igzo,2.0,260.88,14.300834807312926,275.1808348073129,63.17718093856894,"gpu/FEOL@(15.950000,4.250000,0.371790)mm",2180.0,0.0005594304408624198,8.608042300009402
orthogonal_m3d_igzo,2.2,279.568,15.730918288044219,295.2989182880442,66.31254893378497,"gpu/FEOL@(15.950000,4.250000,0.371790)mm",2180.0,0.000598752886777826,8.294402699975763
orthogonal_m3d_igzo,2.4,298.256,17.16100176877551,315.4170017687755,69.44791686213455,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",2180.0,0.0006380672319210088,8.108499800000573
orthogonal_m3d_igzo,2.6,316.94399999999996,18.591085249506804,335.5350852495068,72.52335184289535,"gpu/FEOL@(15.950000,5.750000,0.371790)mm",2270.0,0.0005113471856641321,8.461914399988018
orthogonal_m3d_igzo,2.8,335.632,20.0211687302381,355.6531687302381,75.65501760101836,"gpu/FEOL@(15.950000,5.750000,0.371790)mm",2270.0,0.0005409066621520037,8.473906200000783
orthogonal_m3d_igzo,3.0,354.32,21.45125221096939,375.7712522109694,78.80073887431251,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2290.0,0.0005188170595511604,8.478610399994068
orthogonal_m3d_igzo,3.2,373.008,22.88133569170068,395.88933569170064,81.93339100566186,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2290.0,0.0005459642246378577,8.452322600001935
orthogonal_m3d_igzo,3.4,391.69599999999997,24.31141917243197,416.0074191724319,85.06604323109201,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2290.0,0.000573110329264996,8.432483999989927
orthogonal_m3d_igzo,3.6,410.384,25.741502653163266,436.12550265316327,88.1986955376658,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2290.0,0.0006002526752279049,8.453804499993566
orthogonal_m3d_igzo,3.8,429.072,27.171586133894557,456.24358613389455,91.33134791469774,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2290.0,0.0006273889001314266,8.447841200017137
orthogonal_m3d_igzo,4.0,447.76,28.601669614625852,476.36166961462584,94.46400035329191,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2290,0.0006545169377376396,7.9593625999987125
orthogonal_m3d_igzo,4.2,466.448,30.031753095357143,496.4797530953571,97.59665284598242,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2290,0.0006816349711383225,7.556900600000517
orthogonal_m3d_igzo,4.4,485.13599999999997,31.461836576088437,516.5978365760884,100.73138645939355,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2310,0.0007199976108449692,7.627917700010585
orthogonal_m3d_igzo,4.6,503.824,32.89192005681973,536.7159200568198,103.9207613458936,"gpu/FEOL@(15.950000,-3.750000,0.371790)mm",2420,0.0006109279823534507,7.989224599994486
orthogonal_m3d_igzo,4.8,522.512,34.32200353755102,556.834003537551,107.0555526516049,"gpu/FEOL@(15.950000,-3.750000,0.371790)mm",2420,0.0006334756849590233,7.990000299992971
orthogonal_m3d_igzo,5.0,541.2,35.75208701828231,576.9520870182823,110.19034394234404,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",2420,0.0006560082950139651,7.989686299988534
orthogonal_m3d_igzo,5.2,559.8879999999999,37.18217049901361,597.0701704990136,113.32513521972965,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",2420,0.0006785251347498836,7.988256200012984
orthogonal_m3d_igzo,5.4,578.576,38.6122539797449,617.1882539797449,116.45992648516011,"gpu/FEOL@(15.950000,-3.750000,0.371790)mm",2420,0.0007010255503463371,7.985202900017612
orthogonal_m3d_igzo,5.6,597.264,40.0423374604762,637.3063374604762,119.55608946206502,"gpu/FEOL@(15.950000,-2.750000,0.371790)mm",2450,0.0006920032030947361,8.196970199991483
orthogonal_m3d_igzo,5.8,615.952,41.47242094120748,657.4244209412075,122.72144447490058,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2470,0.0006768151625570351,8.155220700020436
orthogonal_m3d_igzo,6.0,634.64,42.90250442193878,677.5425044219388,125.85602592983446,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2470,0.0006971174340471471,8.15238089999184
orthogonal_m3d_igzo,6.2,653.328,44.33258790267007,697.66058790267,128.99060738820634,"gpu/FEOL@(15.950000,2.250000,0.371790)mm",2470,0.000717402785442274,8.152367299975595
orthogonal_m3d_igzo,6.4,672.016,45.76267138340136,717.7786713834013,132.07464554540263,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",2580,0.0006060995120747785,8.50970550000784
orthogonal_m3d_igzo,6.6,690.704,47.19275486413265,737.8967548641326,135.2077703303499,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",2580,0.0006227373317953961,8.507813600008376
orthogonal_m3d_igzo,6.7,700.048,47.9077966044983,747.9557966044983,136.77433272341926,"gpu/FEOL@(15.950000,-3.750000,0.371790)mm",2580,0.0006310507213712046,8.508579899993492
orthogonal_m3d_igzo,3.3957835580626607,391.302015665375,24.281269852621715,415.5832855179967,84.99999999912148,"gpu/FEOL@(15.950000,-2.250000,0.371790)mm",2290,0.0005725380599423012,7.554573100002017
orthogonal_m3d_300um_sensitivity,0.0,74.0,0.0,74.0,31.713197836742495,"gpu/FEOL@(-15.950000,-2.750000,0.371790)mm",1120,0.00035831953929297086,1.1009657999966294
orthogonal_m3d_300um_sensitivity,0.2,92.688,1.4300834807312925,94.1180834807313,34.78204607624701,"gpu/FEOL@(-15.950000,-2.750000,0.371790)mm",1130,0.00037948511723869254,1.0869066000159364
orthogonal_m3d_300um_sensitivity,0.4,111.376,2.860166961462585,114.23616696146259,37.844426303749515,"gpu/FEOL@(15.950000,-3.250000,0.371790)mm",1140,0.00041816777722305517,1.1088702999986708
orthogonal_m3d_300um_sensitivity,0.6,130.064,4.290250442193877,134.35425044219386,40.93547615324246,"gpu/FEOL@(15.950000,1.750000,0.371790)mm",1150,0.0004199353530948862,1.1102644999918994
orthogonal_m3d_300um_sensitivity,0.8,148.752,5.72033392292517,154.47233392292517,44.052454196475765,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1160,0.00042588846349081585,1.1185747999988962
orthogonal_m3d_300um_sensitivity,1.0,167.44,7.150417403656463,174.59041740365646,47.17047782399101,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1170,0.00044851135090203195,1.1244184999959543
orthogonal_m3d_300um_sensitivity,1.2,186.128,8.580500884387755,194.70850088438775,50.26921044025056,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1170,0.000498415748502789,1.1253194999881089
orthogonal_m3d_300um_sensitivity,1.4,204.816,10.01058436511905,214.82658436511906,53.367943766664155,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1170,0.0005483878545057928,1.1405032000038773
orthogonal_m3d_300um_sensitivity,1.6,223.504,11.44066784585034,234.94466784585032,56.513415011928714,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1200,0.0004208568077163255,1.1559943000029307
orthogonal_m3d_300um_sensitivity,1.8,242.192,12.870751326581633,255.06275132658163,59.616773461402886,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1210,0.0004270450237746929,1.163888400013093
orthogonal_m3d_300um_sensitivity,2.0,260.88,14.300834807312926,275.1808348073129,62.719356698540935,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1210,0.0004600417182085844,1.1643695999810006
orthogonal_m3d_300um_sensitivity,2.2,279.568,15.730918288044219,295.2989182880442,65.78859186933391,"gpu/FEOL@(15.950000,0.250000,0.371790)mm",1240,0.00038902642945075225,1.1927394999947865
orthogonal_m3d_300um_sensitivity,2.4,298.256,17.16100176877551,315.4170017687755,68.8888089084146,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1240,0.00041508825338146374,1.1919886999821756
orthogonal_m3d_300um_sensitivity,2.6,316.94399999999996,18.591085249506804,335.5350852495068,71.98902575481026,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1240,0.00044114440518738904,1.1986364999902435
orthogonal_m3d_300um_sensitivity,2.8,335.632,20.0211687302381,355.6531687302381,75.08924244160875,"gpu/FEOL@(15.950000,0.250000,0.371790)mm",1240,0.0004671930980173798,1.198508400004357
orthogonal_m3d_300um_sensitivity,3.0,354.32,21.45125221096939,375.7712522109694,78.18945899468707,"gpu/FEOL@(15.950000,0.250000,0.371790)mm",1240,0.0004932328571522,1.1965372000122443
orthogonal_m3d_300um_sensitivity,3.2,373.008,22.88133569170068,395.88933569170064,81.2896754345822,"gpu/FEOL@(15.950000,-0.250000,0.371790)mm",1240,0.0005192624217925491,1.1963680999760982
orthogonal_m3d_300um_sensitivity,3.4,391.69599999999997,24.31141917243197,416.0074191724319,84.43885152713938,"gpu/FEOL@(15.950000,5.250000,0.371790)mm",1260,0.00045223000010613296,1.222664500004612
orthogonal_m3d_300um_sensitivity,3.6,410.384,25.741502653163266,436.12550265316327,87.54125127758954,"gpu/FEOL@(15.950000,-5.250000,0.371790)mm",1260,0.00047383338288499357,1.2144562000175938
orthogonal_m3d_300um_sensitivity,3.8,429.072,27.171586133894557,456.24358613389455,90.64365098465817,"gpu/FEOL@(15.950000,5.250000,0.371790)mm",1260,0.0004954256668700937,1.2141093999962322
orthogonal_m3d_300um_sensitivity,4.0,447.76,28.601669614625852,476.36166961462584,93.74605065364216,"gpu/FEOL@(15.950000,-5.250000,0.371790)mm",1260,0.0005170061775051438,1.2367780999920797
orthogonal_m3d_300um_sensitivity,4.2,466.448,30.031753095357143,496.4797530953571,96.84845028900855,"gpu/FEOL@(15.950000,-5.250000,0.371790)mm",1260,0.0005385742660503466,1.2201348999806214
orthogonal_m3d_300um_sensitivity,4.4,485.13599999999997,31.461836576088437,516.5978365760884,99.96458710917807,"gpu/FEOL@(15.950000,-4.750000,0.371790)mm",1280,0.0005028969677734789,1.2347055999853183
orthogonal_m3d_300um_sensitivity,4.6,503.824,32.89192005681973,536.7159200568198,103.06752640375049,"gpu/FEOL@(15.950000,4.750000,0.371790)mm",1280,0.0005222677541807869,1.2371257000195328
orthogonal_m3d_300um_sensitivity,4.8,522.512,34.32200353755102,556.834003537551,106.17046566483879,"gpu/FEOL@(15.950000,-4.750000,0.371790)mm",1280,0.000541626625333445,1.2304710999887902
orthogonal_m3d_300um_sensitivity,5.0,541.2,35.75208701828231,576.9520870182823,109.22167696307014,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1300,0.0004909758682399083,1.2498058000055607
orthogonal_m3d_300um_sensitivity,5.2,559.8879999999999,37.18217049901361,597.0701704990136,112.32282325139391,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1300,0.0005078738824326628,1.2545079000119586
orthogonal_m3d_300um_sensitivity,5.4,578.576,38.6122539797449,617.1882539797449,115.42396951621379,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1300,0.000524759159466735,1.258690699993167
orthogonal_m3d_300um_sensitivity,5.6,597.264,40.0423374604762,637.3063374604762,118.52511575977093,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1300,0.00054163127732894,1.2616459999990184
orthogonal_m3d_300um_sensitivity,5.8,615.952,41.47242094120748,657.4244209412075,121.58415383196893,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1310,0.0005247568621910684,1.2593958999786992
orthogonal_m3d_300um_sensitivity,6.0,634.64,42.90250442193878,677.5425044219388,124.68400645037354,"gpu/FEOL@(15.950000,4.250000,0.371790)mm",1310,0.0005406069269348787,1.2824973000097089
orthogonal_m3d_300um_sensitivity,6.2,653.328,44.33258790267007,697.66058790267,127.78385905407731,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1310,0.0005564434652730011,1.2607042999879923
orthogonal_m3d_300um_sensitivity,6.4,672.016,45.76267138340136,717.7786713834013,130.8837116443263,"gpu/FEOL@(15.950000,-4.250000,0.371790)mm",1310,0.0005722660895693777,1.2585691999993287
orthogonal_m3d_300um_sensitivity,6.6,690.704,47.19275486413265,737.8967548641326,133.77498395215048,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",1340,0.0004912319217789901,1.3053801000060048
orthogonal_m3d_300um_sensitivity,6.7,700.048,47.9077966044983,747.9557966044983,135.3220800161654,"gpu/FEOL@(15.950000,3.750000,0.371790)mm",1340,0.0004978285971915088,1.298487699998077
orthogonal_m3d_300um_sensitivity,3.436175123646087,395.07620355349036,24.57008640613038,419.64628995962073,85.00000000348348,"gpu/FEOL@(15.950000,5.250000,0.371790)mm",1260,0.0004561383164771215,1.2103510999877471
